IP:PORT, LOSS, DELAY
[2606:4700:d0::7d79:32b0:283c:0aba]:1070,0.00%,185 ms
[2606:4700:d1::1230:ac8e:d74e:13c2]:3138,0.00%,186 ms
[2606:4700:d1::67c2:05c1:733c:8011]:3138,0.00%,186 ms
[2606:4700:d1::ee58:c8c6:cb48:3def]:1070,0.00%,186 ms
[2606:4700:d0::d31a:0c13:1957:3741]:3138,0.00%,186 ms
[2606:4700:d0::feb4:8541:a0d6:b120]:1070,0.00%,186 ms
[2606:4700:d0::bd56:a705:8f8f:f240]:1070,0.00%,186 ms
[2606:4700:d1::c8e0:dbe1:2c91:bdce]:1070,0.00%,186 ms
[2606:4700:d1::eb58:b376:52eb:0ef0]:3138,0.00%,187 ms
[2606:4700:d1::8036:6c8e:aa3d:f55f]:3138,0.00%,187 ms
[2606:4700:d0::0da6:d787:65ff:6a83]:3138,0.00%,187 ms
[2606:4700:d1::cb60:5e63:267d:fd3e]:3138,0.00%,187 ms
[2606:4700:d1::cf1d:32e1:6a4b:4cea]:3138,0.00%,187 ms
[2606:4700:d0::21bb:656b:35e3:4195]:3138,0.00%,187 ms
[2606:4700:d1::cf1d:32e1:6a4b:4cea]:1070,0.00%,188 ms
[2606:4700:d1::ee58:c8c6:cb48:3def]:3138,0.00%,188 ms
[2606:4700:d1::ad03:5154:1c70:c3c2]:1070,0.00%,188 ms
[2606:4700:d1::ad03:5154:1c70:c3c2]:3138,0.00%,189 ms
[2606:4700:d0::28f1:9709:e13e:85c0]:3138,0.00%,189 ms
[2606:4700:d0::28f1:9709:e13e:85c0]:1070,0.00%,189 ms
[2606:4700:d0::0708:957e:3bb0:3737]:1070,0.00%,190 ms
[2606:4700:d1::38d4:10b1:b52f:ca51]:3138,0.00%,190 ms
[2606:4700:d0::171c:1537:5e87:4ed8]:1070,0.00%,190 ms
[2606:4700:d1::9040:fa83:2315:12f8]:3138,0.00%,190 ms
[2606:4700:d1::9040:fa83:2315:12f8]:1070,0.00%,190 ms
[2606:4700:d1::22a7:651f:4bd2:3090]:1070,0.00%,190 ms
[2606:4700:d0::3a39:5ad2:61b6:c7cc]:1070,0.00%,190 ms
[2606:4700:d1::7429:35fb:a5e4:2316]:1070,0.00%,191 ms
[2606:4700:d1::0596:55db:4fa6:d58d]:1070,0.00%,191 ms
[2606:4700:d1::cdc5:86d8:78e1:83e4]:3138,0.00%,191 ms
[2606:4700:d1::67c2:05c1:733c:8011]:1070,0.00%,191 ms
[2606:4700:d0::c50c:0dfd:4cc5:f016]:3138,0.00%,191 ms
[2606:4700:d0::3c64:3b7b:aa6e:fd30]:1070,0.00%,192 ms
[2606:4700:d0::28a9:dfc7:e434:a963]:1070,0.00%,192 ms
[2606:4700:d1::a012:4a99:3683:ab86]:3138,0.00%,192 ms
[2606:4700:d0::dcc2:9cdd:788f:55b2]:1070,0.00%,192 ms
[2606:4700:d0::dcc2:9cdd:788f:55b2]:3138,0.00%,193 ms
[2606:4700:d1::0100:3457:ce85:f321]:1070,0.00%,193 ms
[2606:4700:d0::44ff:bedc:da46:f80a]:1070,0.00%,193 ms
[2606:4700:d1::1179:9660:124c:a46f]:1070,0.00%,193 ms
[2606:4700:d0::8255:e431:5b6e:7de2]:1070,0.00%,194 ms
[2606:4700:d0::feb4:8541:a0d6:b120]:3138,0.00%,194 ms
[2606:4700:d1::0100:3457:ce85:f321]:3138,0.00%,194 ms
[2606:4700:d0::8255:e431:5b6e:7de2]:3138,0.00%,194 ms
[2606:4700:d1::cf27:e524:1f9c:ff3c]:3138,0.00%,194 ms
[2606:4700:d0::0708:957e:3bb0:3737]:3138,0.00%,194 ms
[2606:4700:d1::cea2:8977:ddc1:8ba6]:1070,0.00%,195 ms
[2606:4700:d1::480f:eab7:92a4:277a]:1070,0.00%,195 ms
[2606:4700:d0::171c:1537:5e87:4ed8]:3138,0.00%,195 ms
[2606:4700:d1::6816:cb7d:cc5d:d1de]:1070,0.00%,195 ms
[2606:4700:d0::3a39:5ad2:61b6:c7cc]:3138,0.00%,195 ms
[2606:4700:d1::10dc:ac5d:e0b3:e8be]:1070,0.00%,195 ms
[2606:4700:d1::b2b5:1e64:a433:9abb]:3138,0.00%,196 ms
[2606:4700:d1::9105:dcae:8a22:0c53]:3138,0.00%,196 ms
[2606:4700:d1::10dc:ac5d:e0b3:e8be]:3138,0.00%,196 ms
[2606:4700:d0::44ff:bedc:da46:f80a]:3138,0.00%,196 ms
[2606:4700:d1::22aa:1a16:e3c6:b35a]:3138,0.00%,196 ms
[2606:4700:d0::28a9:dfc7:e434:a963]:3138,0.00%,196 ms
[2606:4700:d1::22aa:1a16:e3c6:b35a]:1070,0.00%,196 ms
[2606:4700:d1::22a7:651f:4bd2:3090]:3138,0.00%,196 ms
[2606:4700:d1::1179:9660:124c:a46f]:3138,0.00%,197 ms
[2606:4700:d0::8dbd:6b07:e389:c0ad]:1070,0.00%,197 ms
[2606:4700:d1::e64c:181c:8d1b:52fe]:3138,0.00%,199 ms
[2606:4700:d0::50dc:904f:a53b:bf6b]:1070,0.00%,199 ms
[2606:4700:d1::e64c:181c:8d1b:52fe]:1070,0.00%,199 ms
[2606:4700:d0::50dc:904f:a53b:bf6b]:3138,0.00%,199 ms
[2606:4700:d0::631a:2086:5ff6:cdfc]:3138,0.00%,200 ms
[2606:4700:d1::0c00:b79e:2eff:47c6]:3138,0.00%,200 ms
[2606:4700:d1::6816:cb7d:cc5d:d1de]:3138,0.00%,200 ms
[2606:4700:d1::cea2:8977:ddc1:8ba6]:3138,0.00%,200 ms
[2606:4700:d1::9d61:f793:3de3:9876]:1070,0.00%,200 ms
[2606:4700:d0::0b9d:758c:9b7c:2335]:1070,0.00%,200 ms
[2606:4700:d0::631a:2086:5ff6:cdfc]:1070,0.00%,200 ms
[2606:4700:d1::b2b5:1e64:a433:9abb]:1070,0.00%,200 ms
[2606:4700:d0::6cab:7c5f:d58c:4319]:3138,0.00%,201 ms
[2606:4700:d1::0c00:b79e:2eff:47c6]:1070,0.00%,202 ms
[2606:4700:d0::3300:a011:735a:bcf5]:1070,0.00%,203 ms
[2606:4700:d0::3300:a011:735a:bcf5]:3138,0.00%,203 ms
[2606:4700:d0::277d:80b4:130e:3896]:3138,0.00%,203 ms
[2606:4700:d0::0b9d:758c:9b7c:2335]:3138,0.00%,203 ms
[2606:4700:d0::13bf:c5c6:d7ab:543d]:3138,0.00%,204 ms
[2606:4700:d0::61b1:171f:2565:8d31]:1070,0.00%,204 ms
[2606:4700:d1::24eb:633e:94cc:0e8c]:3138,0.00%,204 ms
[2606:4700:d1::9d61:f793:3de3:9876]:3138,0.00%,204 ms
[2606:4700:d0::13bf:c5c6:d7ab:543d]:1070,0.00%,204 ms
[2606:4700:d0::681f:9e05:6763:1683]:1070,0.00%,205 ms
[2606:4700:d0::277d:80b4:130e:3896]:1070,0.00%,207 ms
[2606:4700:d0::61b1:171f:2565:8d31]:3138,0.00%,208 ms
[2606:4700:d0::5487:5937:fbc1:a44b]:1070,0.00%,208 ms
[2606:4700:d1::24eb:633e:94cc:0e8c]:1070,0.00%,209 ms
[2606:4700:d0::5487:5937:fbc1:a44b]:3138,0.00%,209 ms
[2606:4700:d0::46f8:1bca:c647:b788]:3138,0.00%,209 ms
[2606:4700:d0::61be:0847:94cc:144c]:3138,0.00%,209 ms
[2606:4700:d0::61be:0847:94cc:144c]:1070,0.00%,209 ms
[2606:4700:d0::681f:9e05:6763:1683]:3138,0.00%,209 ms
[2606:4700:d0::c880:0862:b3c3:f798]:3138,0.00%,211 ms
[2606:4700:d1::a007:dc7f:d633:eac7]:3138,0.00%,211 ms
[2606:4700:d1::ac8b:83ff:6990:35b3]:1070,0.00%,212 ms
[2606:4700:d1::ac8b:83ff:6990:35b3]:3138,0.00%,213 ms
[2606:4700:d0::c880:0862:b3c3:f798]:1070,0.00%,213 ms
[2606:4700:d1::a007:dc7f:d633:eac7]:1070,0.00%,213 ms
[2606:4700:d1::14ab:cb77:db1d:bb07]:1070,0.00%,217 ms
[2606:4700:d1::14ab:cb77:db1d:bb07]:3138,0.00%,222 ms
[2606:4700:d0::a008:d62c:3bae:a715]:3138,10.00%,252 ms
[2606:4700:d0::61f3:dee8:681b:cd03]:3138,10.00%,256 ms
[2606:4700:d0::2905:dcbf:e0cf:1d0f]:3138,10.00%,256 ms
[2606:4700:d1::d7f6:347a:ae57:e68f]:1070,10.00%,259 ms
[2606:4700:d1::5456:9e2d:cc07:9fdf]:3138,10.00%,259 ms
[2606:4700:d1::c084:315e:5bd7:88f3]:3138,10.00%,259 ms
[2606:4700:d1::9e5b:a962:7acc:a3b9]:1070,10.00%,260 ms
[2606:4700:d1::cdc5:86d8:78e1:83e4]:1070,10.00%,262 ms
[2606:4700:d0::21bb:656b:35e3:4195]:1070,10.00%,265 ms
[2606:4700:d0::3c64:3b7b:aa6e:fd30]:3138,10.00%,265 ms
[2606:4700:d0::c50c:0dfd:4cc5:f016]:1070,10.00%,265 ms
[2606:4700:d1::7429:35fb:a5e4:2316]:3138,10.00%,267 ms
[2606:4700:d1::a012:4a99:3683:ab86]:1070,10.00%,268 ms
[2606:4700:d0::8dbd:6b07:e389:c0ad]:3138,10.00%,268 ms
[2606:4700:d1::480f:eab7:92a4:277a]:3138,10.00%,270 ms
[2606:4700:d1::9105:dcae:8a22:0c53]:1070,10.00%,272 ms
[2606:4700:d0::6cab:7c5f:d58c:4319]:1070,10.00%,272 ms
[2606:4700:d0::46f8:1bca:c647:b788]:1070,10.00%,280 ms
[2606:4700:d1::fbe1:6d3e:560f:0085]:3138,10.00%,286 ms
[2606:4700:d1::fbe1:6d3e:560f:0085]:1070,10.00%,290 ms
