IP:PORT, LOSS, DELAY
[2606:4700:d0::a008:d62c:3bae:a715]:1070,0.00%,168 ms
[2606:4700:d0::bb56:15b6:0130:e7e1]:3138,0.00%,169 ms
[2606:4700:d1::3711:8288:25ac:3b9e]:3138,0.00%,169 ms
[2606:4700:d0::bb56:15b6:0130:e7e1]:1070,0.00%,169 ms
[2606:4700:d0::1c41:bf04:1ae7:e5b9]:3138,0.00%,172 ms
[2606:4700:d1::3711:8288:25ac:3b9e]:1070,0.00%,172 ms
[2606:4700:d0::710e:44d6:c5b4:a5c2]:3138,0.00%,172 ms
[2606:4700:d1::e425:8bfa:8f25:a23e]:3138,0.00%,172 ms
[2606:4700:d0::9f8b:abfa:3c1f:dc68]:3138,0.00%,172 ms
[2606:4700:d0::4537:e145:7e17:8675]:1070,0.00%,173 ms
[2606:4700:d0::4537:e145:7e17:8675]:3138,0.00%,173 ms
[2606:4700:d1::f1bd:764e:e087:5abe]:3138,0.00%,173 ms
[2606:4700:d1::e425:8bfa:8f25:a23e]:1070,0.00%,173 ms
[2606:4700:d0::a8d2:9d9e:5c37:d847]:3138,0.00%,174 ms
[2606:4700:d1::46f9:e706:3e58:81b8]:1070,0.00%,174 ms
[2606:4700:d1::2475:624d:1c8a:178c]:1070,0.00%,174 ms
[2606:4700:d0::86f7:8706:3c37:fdec]:1070,0.00%,174 ms
[2606:4700:d0::8bbe:abe2:cbcd:066c]:3138,0.00%,175 ms
[2606:4700:d0::86f7:8706:3c37:fdec]:3138,0.00%,175 ms
[2606:4700:d1::0b58:66cb:6d22:878a]:3138,0.00%,175 ms
[2606:4700:d0::199e:121f:7c3b:f041]:3138,0.00%,175 ms
[2606:4700:d1::73a1:a370:b632:10b2]:1070,0.00%,175 ms
[2606:4700:d1::f1bd:764e:e087:5abe]:1070,0.00%,175 ms
[2606:4700:d1::0b58:66cb:6d22:878a]:1070,0.00%,176 ms
[2606:4700:d0::66ec:769f:f737:4e14]:1070,0.00%,176 ms
[2606:4700:d0::66ec:769f:f737:4e14]:3138,0.00%,176 ms
[2606:4700:d0::ce94:284a:8e0f:dd5a]:1070,0.00%,177 ms
[2606:4700:d0::e897:db04:d4ab:e343]:1070,0.00%,177 ms
[2606:4700:d0::1c41:bf04:1ae7:e5b9]:1070,0.00%,177 ms
[2606:4700:d1::aeaf:0149:e50e:8c8e]:1070,0.00%,177 ms
[2606:4700:d1::aeaf:0149:e50e:8c8e]:3138,0.00%,177 ms
[2606:4700:d0::f74f:edd7:6004:fa77]:1070,0.00%,178 ms
[2606:4700:d0::710e:44d6:c5b4:a5c2]:1070,0.00%,178 ms
[2606:4700:d0::9f8b:abfa:3c1f:dc68]:1070,0.00%,178 ms
[2606:4700:d0::07cd:a6e3:95a0:7792]:3138,0.00%,178 ms
[2606:4700:d1::8036:6c8e:aa3d:f55f]:1070,0.00%,179 ms
[2606:4700:d1::008a:1771:2626:3e7c]:3138,0.00%,179 ms
[2606:4700:d0::f74f:edd7:6004:fa77]:3138,0.00%,179 ms
[2606:4700:d0::a8d2:9d9e:5c37:d847]:1070,0.00%,179 ms
[2606:4700:d1::2475:624d:1c8a:178c]:3138,0.00%,179 ms
[2606:4700:d0::aead:d905:8a15:21dc]:3138,0.00%,180 ms
[2606:4700:d0::2905:dcbf:e0cf:1d0f]:1070,0.00%,180 ms
[2606:4700:d1::4561:9846:1d1c:2095]:1070,0.00%,180 ms
[2606:4700:d0::7d79:32b0:283c:0aba]:3138,0.00%,180 ms
[2606:4700:d1::9e5b:a962:7acc:a3b9]:3138,0.00%,181 ms
[2606:4700:d0::8bbe:abe2:cbcd:066c]:1070,0.00%,181 ms
[2606:4700:d0::d31a:0c13:1957:3741]:1070,0.00%,181 ms
[2606:4700:d1::eb58:b376:52eb:0ef0]:1070,0.00%,181 ms
[2606:4700:d0::e5cd:b11e:e342:6193]:1070,0.00%,181 ms
[2606:4700:d1::738f:6ec2:fd29:13f4]:3138,0.00%,181 ms
[2606:4700:d1::5456:9e2d:cc07:9fdf]:1070,0.00%,181 ms
[2606:4700:d0::e5cd:b11e:e342:6193]:3138,0.00%,181 ms
[2606:4700:d1::c084:315e:5bd7:88f3]:1070,0.00%,181 ms
[2606:4700:d1::73a1:a370:b632:10b2]:3138,0.00%,181 ms
[2606:4700:d1::4561:9846:1d1c:2095]:3138,0.00%,182 ms
[2606:4700:d0::e897:db04:d4ab:e343]:3138,0.00%,182 ms
[2606:4700:d0::199e:121f:7c3b:f041]:1070,0.00%,182 ms
[2606:4700:d1::46f9:e706:3e58:81b8]:3138,0.00%,182 ms
[2606:4700:d0::ce94:284a:8e0f:dd5a]:3138,0.00%,182 ms
[2606:4700:d0::0da6:d787:65ff:6a83]:1070,0.00%,182 ms
[2606:4700:d1::cb60:5e63:267d:fd3e]:1070,0.00%,182 ms
[2606:4700:d1::008a:1771:2626:3e7c]:1070,0.00%,183 ms
[2606:4700:d1::0596:55db:4fa6:d58d]:3138,0.00%,183 ms
[2606:4700:d0::0d07:e406:83ea:f211]:3138,0.00%,183 ms
[2606:4700:d0::61f3:dee8:681b:cd03]:1070,0.00%,183 ms
[2606:4700:d0::0d07:e406:83ea:f211]:1070,0.00%,183 ms
[2606:4700:d1::738f:6ec2:fd29:13f4]:1070,0.00%,183 ms
[2606:4700:d1::c338:ee91:ec2d:b4bf]:1070,0.00%,183 ms
[2606:4700:d1::1230:ac8e:d74e:13c2]:1070,0.00%,184 ms
[2606:4700:d1::c338:ee91:ec2d:b4bf]:3138,0.00%,184 ms
[2606:4700:d1::38d4:10b1:b52f:ca51]:1070,0.00%,184 ms
[2606:4700:d0::bd56:a705:8f8f:f240]:3138,0.00%,184 ms
[2606:4700:d0::07cd:a6e3:95a0:7792]:1070,0.00%,184 ms
[2606:4700:d1::d7f6:347a:ae57:e68f]:3138,0.00%,185 ms
[2606:4700:d1::c8e0:dbe1:2c91:bdce]:3138,0.00%,185 ms
[2606:4700:d1::cf27:e524:1f9c:ff3c]:1070,0.00%,185 ms
[2606:4700:d0::aead:d905:8a15:21dc]:1070,0.00%,185 ms
